id,user_no,device_id,push_type,article_id,title,category,sent_at,status
11,27,wbXtrDheRFV:APA91bT7V1xJAtVnk7bUkPlUZCpAQhtippVuK_MxjH6W6TuSaIXwuV5BGALKw-obwsdBGfGz5WISu4KnRovE7RL_ZKdrRUr2kKtj4Ol9bkqR3Es3Le-PVeiSzl-tAdLlrc3VyD45kY7C,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.652797005+09:00,success
12,35,PVrMMkwG1rs:APA91bq8qyocyf9FkVI_I_pk8L9xa2C2MkBvBY5WZE_-ntW3YCrHDE2HMlHnBBycRXVj8Fh-sLXXRj1zsiy7RW-fv07_VqGxQxAwM1eN0WtiEeZnp_gmOXB3jl7dgErDn9p6HW8_sNe7,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.654726922+09:00,fail
13,41,QEJPWGS15CH:APA91bG_AE8tedaJ9Znr4N-x6qDFmHqowWJTzyuDquqj_6RgROl6k5ruSj5fyZZnt4uyYhbxFQwxU4IMDCLFqdKsocQckqpXnA-jcxNs9HWY0eN2uu4-MygCrjCTxhkCeVjW10Sxi6P5,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.658548255+09:00,success
14,44,24KwfCSy7eX:APA91bO8kVsLzNoHJ41Z42Li847ToMwbZqykqZKZBJ4j9sNYB32tR0TeTpN7ohAB4m90Br80W5VyS-jUzPA7d5vi7ExcWR3HuVRisQGXO2ouG39g3NT1XP7C8aFXuQ7PX72fuBo0ja_6,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.660115047+09:00,success
15,45,977ae5d3f208c35fe37ed352a61f7038dd287a275c9d877d01b8a7fb85a39e15,APNS,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.662156005+09:00,success
16,47,a2978bbadc3514df49319cbb19eb06534eff33bed97720155097ad002238e50a,APNS,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.666513797+09:00,fail
17,48,Zp6jR8bV6me:APA91bSRidmWubemY_bINPyThs9KdR4l8PuGnEpQBL5M9ujAQgbaLlfBsSV-goyuMlzPYahVECBzJEncm7SfzRfECICMG9Iw-4e_tTGynJ7PeYeRXuYs-sxhK7u4ewY58h8feQjKb0Ei,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.668740255+09:00,success
18,51,sqXO57akjy1:APA91bQjbwBolGL1bd4MTt6rhvlQ7U_3cbvS4Mc47ocSM-Hg_pA7YKu4-UWtNUD4cDch19y1jPTUQ3zi-krPYzMn1FMooOFXOsQnDpfFiwRGSt5BBTqDtbBPsSAMzVoa_YgSSdhJhrbL,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.670357589+09:00,fail
19,53,2ROEpdkegkE:APA91bsglAbvXO_Gi8F3YSoBj4sGL5D7VttxyuqJnpUx8Sxm0QyjVr8I2EuB88OyIeLF_hB_qwZGsvI8-QhKRFOyNH1-hvKXPMDGOEWIjF0e12Q6w9UOjHjGMVMrgDHjx3OzvbwTUu_P,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.674458505+09:00,fail
20,54,fC8d4KMjVF0:APA91bi9UN9q5RMF53QuVPYJawV4L1HnlVwTziogKGxBFeuzvvKW3B2oudRyBkVJz6vIifDP-Eet9LQJeUJG8PdHbRVZd7NPCmrmDUbVV70jw6Q07y54p7Z1SvaZTbHZSVhhvqsJp_If,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.676861047+09:00,success
21,55,739418ea53da067564debdc4cc2770cdeeba7bb8e090a57fbf2c2b888a5159a4,APNS,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.678338422+09:00,success
22,61,CysmIt4m5Yi:APA91bNrjByWPJOHW_YU8RHiq88avPZ5H6_tkxLc2fBQ0la0u3-edqkhwSTKhgTkhYsCpCPSARYTwploD9AQFAvqlSnwPOGE5WgDXWHv7ALd-DtLVqaCPRd_p4N63XuV5cPOpuHdWXul,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.681251255+09:00,fail
23,65,IsMfEU0J0Jy:APA91bDYnMYJwJ1Cl12zUjuL9OKGFkwzHSs0l82mAJSQ1lnc4TxEWM4VFvDtx-4mE4lH_At1tTrCgR4dmrzsFWxaCxgjr5suWiHHxnzfYFO-VzWEeAbxkDIHmI7vOcDzf11jR3wNcxki,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.682994380+09:00,fail
24,66,i5HrmonZ6yg:APA91bow91Q1z-qI5c1aprc3hUNzoLbCurqUISYkrpKgHpbclZ701IsnKeMkauEyRgmFcAIlb552LNnCgVvsU5UQxnGJY7vWfqRvRJtL_oK9RY9wpVTnsNxAjU8QMJ6wI9fhbntD7pkR,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.686461172+09:00,fail
25,67,G1LFCCRrUIK:APA91bOh7RXu-nxGK4ZdEYe2S1sJ5gYv8jhtIwB-oKoNTle_8iW85nRd_6qeN6DYZxtaWevj_hvd8usu9X6Nb3H13mYKJEojyBBuGvBQ_jTXCHEbNuvbWmA4FBxHFrYTugKvM2zaavgb,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.688406547+09:00,success
26,70,00807011659a024579610284632382930e3ca426be8136c6d14e9afb5424b368,APNS,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.690149505+09:00,success
27,71,CaoA1MfJ0La:APA91bSv51x3IYdUyZG1YWjyw_lJ6fNvjiHVcBzeLO9DAWuHfPDwnjhWa_L6WpCeTr6QNidffauG69ZGNkVHelejtMN6cq-tDUivQ24WNi9piO6jWJFZTRQwyYfnB-8fAAxjvA1NK6qA,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.691849589+09:00,success
28,74,q3ueRa6kyJd:APA91bUk--H_swpVwo8Y1keqhf13S_Sa7WBN_AZX5P4EAE6kmtgTfEjVFYqUK-xuTzau_hrabTSEotlUU4xQoEj38xpIzPtbZNHiKgn-BYptiFs1KnzM1Uj-82s6bmZ_wMiKK-SzQ-hF,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.695201047+09:00,fail
29,75,eIosxxkH4lq:APA91baqhQ_Bzt-X1MnbKmBCYACd7DYwFsma1xfwv7ovvrrz7XGR6bT4oNp1LIpSItKsGP0WykQIiKG2fTHLmITkgeebwhd22cO9DUOp4deoZp4Fa0r7vHLvPCI9eYJGK5fTQ-pbtSTp,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.698277630+09:00,fail
30,79,eqI2BdzgtSk:APA91bJFWC8t7H5BakKdkn6oekaBNQe3Rln_3ELoc20kOm755pFYvTT6hBJwZTRMorcYzPaKYgqpGYOu9a2CeITElGrC-qbNhasSxIAC9DBl1XRpDrm8n4njnTs5GMlCHiVCUzpOaz8A,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.699834839+09:00,success
31,81,d1c9677128b4fd8f38a9f16343c095240b909ff3bb82109badd162f820148fc6,APNS,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.701126547+09:00,fail
32,82,s9ewzz18fYz:APA91bKrxoLoNqn59Ql8_NAyx2-zoVuN29NVf_dUZbAvmYW9cPA5_HB1tD9mYLg-JbH_DViHHu98R6uWUxtT2dwABahV2Ixx3udQIJ7YiFO-kCFIY7f9Eo65F2BHCi2giXta3MEK0jIf,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.704051089+09:00,success
33,87,OtrEXwspteE:APA91bcW-8frcvZk2BbRs6RptjVSTY8vSHHkiJ-wvU4j7W3xcOJVUsTiZkNxTPXZAraNgD41tPjrPy3FxQYM_swnTUGqotZbvnqLsGtV5cZZUIaE9WphEcxTMkOsNGghftmu7bV_VK9D,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.706354422+09:00,success
34,89,ZCNHjccdIHe:APA91bbZYc1DX1whebrIQbWa2c-bxodTIwRKTnM4VIJ38dDUUAill7Xj4uDMemxz_3aZxr2kRp5YAXo_x2eIpS4tm7hrO9-tivovWB0REWeKRH2i-7lEf5CoL93Ml_dpji6-RyQNyjlZ,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.708448005+09:00,fail
35,90,1bb32a12adc322cf120bedc1c5d5d7b6c2069fe89bd96ab6a90d622ab0d5d338,APNS,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.711725964+09:00,success
36,91,1d56c18dbaa523fec6aba7cbeab426d7c50a79a1f7c800acb98ff92dea67e43d,APNS,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.714665964+09:00,success
37,97,5851b87939e435b055977afd9e0ea0ccff1ebdea10e9ab644443061a20edd5ca,APNS,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.716412839+09:00,fail
38,99,3i0OYmNr9m1:APA91baM3KHBOweWhvfT9MzCwBuZ2RGeSAfNd5FAH_db-_cMV2g2Ok__0WKLt7zTgCpSYuILXFuh9RK1wLWArqZhDANKLUmshM68Zj9K_GibXnlwvkHMlxmVL_ePCg-yjFPRDxvyhrhO,FCM,AKR20260522163600004,'주가 조작 혐의' 알에프세미 전현직 대표 구속,SOCIETY,2026-05-23T00:30:53.719390214+09:00,success
39,3,df672b1f45bb96e4db70bef7e2d35335b623e48fa1913b95bb3eb96fbd416b7e,APNS,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.721071380+09:00,success
40,4,Sm9ozPqysbI:APA91b_wjgG-hYFkGEMyI-Av7Wxgs5_9CJK3SXnJZtV3ECyCGvzqdzMBikU-xhsD-MlbDQhetahbggmd9_58IIvt7J__CeNwS_7oyUXdQDsZr_S3yi682suHcPy1UWn3OQOxL_QRXZJI,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.722849214+09:00,fail
41,9,ROeiNxabWre:APA91buMkON_FvHb8DOsyj4Kk3pyNLr_6sO-y0epPPFKCEt8U8w6bf5_5DvM25dHd0bz6ke3Kkqw74C5mUqAI6h-0N-u9vsHy5s-n52TQ0Q6clV_jcogs6-EdUYXOyoPhp8Qef3TBe14,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.724421755+09:00,success
42,10,8e74a0bc0e50832ede3fe053a589ad18f59abf64c6c45ca232472b751109c709,APNS,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.728880672+09:00,fail
43,12,zexnCve0hh8:APA91bWkGu07ofRzEikLC_XNiGvoGi_IH3SckFX2b2_3WMw-eB2R4-Se3iQ-_Y3JwoV4-Zuejgsgcu0bZUXS_I7wSXHCyx45lPpUFQSz-ahjZyo_2ZwS0w3hubg_QkQ8qQzHt9ByfIup,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.732154255+09:00,fail
44,17,K9L75hRnY01:APA91bZ9EDKhj69Gk6H5k013-aSw84vP_lE-QdPMZgITvn7DKFL5O9Ol7uZqXjhO1kZTEirpCi4MqWaRhLQDr5IyXU945ROO438X6PmLIHJbri8k_n5mNMc9hbo5L6DhKjXAz8mXcv1N,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.734045047+09:00,fail
45,19,qFcsMrf6dWS:APA91bz1KnBgizqnC_fcwqzB7Nmuwwerj6xEfHXRRNJ9ou-vfRoyK4MgoTwjlMDq_SVlySPArMWuiyeudxh1PrCs78t25GPBA5f4U0fzj5pSsdDcxo3THtZ6hKiCeSxHKnQgZYZUKXaE,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.736169172+09:00,success
46,21,o77IFm1IekP:APA91bVuVMbDoy2YozJm3n0lUZv0XLQ6HYkYPdARXqC-fREnBGn1WoZhC67Udzm96kX0fyoOZF42kKLCHaeG_J7-Y8TC3qSHAMfqQh7IB2-2vazmFrCBjWBAUmKVuPIN5wAIks3vJGAK,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.739032505+09:00,success
47,23,DgvDWkHV1zA:APA91bw6f_qCcPrWWCPKglhp4wk7ZFiy-f64Gm1IoykoTPqWPJPDCTwYn11GBfe28mdS1QIOVIT-7s7W5SQ0Ely7iWu7Ml1A3_tvloVw9AIUQ13mxpB7zj7e_mldPZnAsbj6Y66EI1t0,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.742015130+09:00,success
48,24,5b617614df41a4bb4d273fc232b0d7578c59cd258279ddf43c22841928722428,APNS,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.743753255+09:00,success
49,27,wbXtrDheRFV:APA91bT7V1xJAtVnk7bUkPlUZCpAQhtippVuK_MxjH6W6TuSaIXwuV5BGALKw-obwsdBGfGz5WISu4KnRovE7RL_ZKdrRUr2kKtj4Ol9bkqR3Es3Le-PVeiSzl-tAdLlrc3VyD45kY7C,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.747415089+09:00,success
50,35,PVrMMkwG1rs:APA91bq8qyocyf9FkVI_I_pk8L9xa2C2MkBvBY5WZE_-ntW3YCrHDE2HMlHnBBycRXVj8Fh-sLXXRj1zsiy7RW-fv07_VqGxQxAwM1eN0WtiEeZnp_gmOXB3jl7dgErDn9p6HW8_sNe7,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.749169130+09:00,fail
51,41,QEJPWGS15CH:APA91bG_AE8tedaJ9Znr4N-x6qDFmHqowWJTzyuDquqj_6RgROl6k5ruSj5fyZZnt4uyYhbxFQwxU4IMDCLFqdKsocQckqpXnA-jcxNs9HWY0eN2uu4-MygCrjCTxhkCeVjW10Sxi6P5,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.752412839+09:00,fail
52,44,24KwfCSy7eX:APA91bO8kVsLzNoHJ41Z42Li847ToMwbZqykqZKZBJ4j9sNYB32tR0TeTpN7ohAB4m90Br80W5VyS-jUzPA7d5vi7ExcWR3HuVRisQGXO2ouG39g3NT1XP7C8aFXuQ7PX72fuBo0ja_6,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.754341339+09:00,fail
53,45,977ae5d3f208c35fe37ed352a61f7038dd287a275c9d877d01b8a7fb85a39e15,APNS,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.756322714+09:00,fail
54,47,a2978bbadc3514df49319cbb19eb06534eff33bed97720155097ad002238e50a,APNS,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.758098714+09:00,fail
55,48,Zp6jR8bV6me:APA91bSRidmWubemY_bINPyThs9KdR4l8PuGnEpQBL5M9ujAQgbaLlfBsSV-goyuMlzPYahVECBzJEncm7SfzRfECICMG9Iw-4e_tTGynJ7PeYeRXuYs-sxhK7u4ewY58h8feQjKb0Ei,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.761257714+09:00,success
56,51,sqXO57akjy1:APA91bQjbwBolGL1bd4MTt6rhvlQ7U_3cbvS4Mc47ocSM-Hg_pA7YKu4-UWtNUD4cDch19y1jPTUQ3zi-krPYzMn1FMooOFXOsQnDpfFiwRGSt5BBTqDtbBPsSAMzVoa_YgSSdhJhrbL,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.764459797+09:00,fail
57,53,2ROEpdkegkE:APA91bsglAbvXO_Gi8F3YSoBj4sGL5D7VttxyuqJnpUx8Sxm0QyjVr8I2EuB88OyIeLF_hB_qwZGsvI8-QhKRFOyNH1-hvKXPMDGOEWIjF0e12Q6w9UOjHjGMVMrgDHjx3OzvbwTUu_P,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.767126630+09:00,success
58,54,fC8d4KMjVF0:APA91bi9UN9q5RMF53QuVPYJawV4L1HnlVwTziogKGxBFeuzvvKW3B2oudRyBkVJz6vIifDP-Eet9LQJeUJG8PdHbRVZd7NPCmrmDUbVV70jw6Q07y54p7Z1SvaZTbHZSVhhvqsJp_If,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.768928922+09:00,fail
59,55,739418ea53da067564debdc4cc2770cdeeba7bb8e090a57fbf2c2b888a5159a4,APNS,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.772375755+09:00,success
60,61,CysmIt4m5Yi:APA91bNrjByWPJOHW_YU8RHiq88avPZ5H6_tkxLc2fBQ0la0u3-edqkhwSTKhgTkhYsCpCPSARYTwploD9AQFAvqlSnwPOGE5WgDXWHv7ALd-DtLVqaCPRd_p4N63XuV5cPOpuHdWXul,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.774283130+09:00,fail
61,65,IsMfEU0J0Jy:APA91bDYnMYJwJ1Cl12zUjuL9OKGFkwzHSs0l82mAJSQ1lnc4TxEWM4VFvDtx-4mE4lH_At1tTrCgR4dmrzsFWxaCxgjr5suWiHHxnzfYFO-VzWEeAbxkDIHmI7vOcDzf11jR3wNcxki,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.776196964+09:00,fail
62,66,i5HrmonZ6yg:APA91bow91Q1z-qI5c1aprc3hUNzoLbCurqUISYkrpKgHpbclZ701IsnKeMkauEyRgmFcAIlb552LNnCgVvsU5UQxnGJY7vWfqRvRJtL_oK9RY9wpVTnsNxAjU8QMJ6wI9fhbntD7pkR,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.778045797+09:00,fail
63,67,G1LFCCRrUIK:APA91bOh7RXu-nxGK4ZdEYe2S1sJ5gYv8jhtIwB-oKoNTle_8iW85nRd_6qeN6DYZxtaWevj_hvd8usu9X6Nb3H13mYKJEojyBBuGvBQ_jTXCHEbNuvbWmA4FBxHFrYTugKvM2zaavgb,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.781459130+09:00,success
64,70,00807011659a024579610284632382930e3ca426be8136c6d14e9afb5424b368,APNS,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.783103922+09:00,success
65,71,CaoA1MfJ0La:APA91bSv51x3IYdUyZG1YWjyw_lJ6fNvjiHVcBzeLO9DAWuHfPDwnjhWa_L6WpCeTr6QNidffauG69ZGNkVHelejtMN6cq-tDUivQ24WNi9piO6jWJFZTRQwyYfnB-8fAAxjvA1NK6qA,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.785042380+09:00,fail
66,74,q3ueRa6kyJd:APA91bUk--H_swpVwo8Y1keqhf13S_Sa7WBN_AZX5P4EAE6kmtgTfEjVFYqUK-xuTzau_hrabTSEotlUU4xQoEj38xpIzPtbZNHiKgn-BYptiFs1KnzM1Uj-82s6bmZ_wMiKK-SzQ-hF,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.788190339+09:00,fail
67,75,eIosxxkH4lq:APA91baqhQ_Bzt-X1MnbKmBCYACd7DYwFsma1xfwv7ovvrrz7XGR6bT4oNp1LIpSItKsGP0WykQIiKG2fTHLmITkgeebwhd22cO9DUOp4deoZp4Fa0r7vHLvPCI9eYJGK5fTQ-pbtSTp,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.790305005+09:00,success
68,79,eqI2BdzgtSk:APA91bJFWC8t7H5BakKdkn6oekaBNQe3Rln_3ELoc20kOm755pFYvTT6hBJwZTRMorcYzPaKYgqpGYOu9a2CeITElGrC-qbNhasSxIAC9DBl1XRpDrm8n4njnTs5GMlCHiVCUzpOaz8A,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.792789714+09:00,fail
69,81,d1c9677128b4fd8f38a9f16343c095240b909ff3bb82109badd162f820148fc6,APNS,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.795931005+09:00,fail
70,82,s9ewzz18fYz:APA91bKrxoLoNqn59Ql8_NAyx2-zoVuN29NVf_dUZbAvmYW9cPA5_HB1tD9mYLg-JbH_DViHHu98R6uWUxtT2dwABahV2Ixx3udQIJ7YiFO-kCFIY7f9Eo65F2BHCi2giXta3MEK0jIf,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.797859755+09:00,fail
71,87,OtrEXwspteE:APA91bcW-8frcvZk2BbRs6RptjVSTY8vSHHkiJ-wvU4j7W3xcOJVUsTiZkNxTPXZAraNgD41tPjrPy3FxQYM_swnTUGqotZbvnqLsGtV5cZZUIaE9WphEcxTMkOsNGghftmu7bV_VK9D,FCM,AKR20260522163200527,동해남부먼바다 등 3곳 23일 0시 풍랑주의보 해제,SOCIETY,2026-05-23T00:30:53.799499464+09:00,fail
