id,user_no,push_type,article_id,title,category,sent_at,status
103,91,APNS,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",INDUSTRY,2026-05-22T18:51:34.477934+09:00,fail
104,95,FCM,AKR20260522035452003,"비아파트 공급 속도전…규제지역에 매입임대 '6만6천호+α'(종합2보)",INDUSTRY,2026-05-22T18:51:34.478590+09:00,fail
105,1,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.479238+09:00,fail
106,2,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.479916+09:00,fail
107,3,APNS,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.482148+09:00,success
108,4,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.482899+09:00,success
109,8,APNS,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.483628+09:00,success
110,9,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.484311+09:00,success
111,10,APNS,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.485012+09:00,success
112,15,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.485624+09:00,success
113,17,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.486474+09:00,fail
114,19,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.487542+09:00,fail
115,21,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.489225+09:00,success
116,23,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.489862+09:00,fail
117,24,APNS,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.490691+09:00,fail
118,27,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.491208+09:00,fail
119,30,APNS,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.491808+09:00,fail
120,35,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.492360+09:00,fail
121,39,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.492909+09:00,success
122,41,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.493465+09:00,fail
123,44,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.494048+09:00,success
124,45,APNS,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.496049+09:00,success
125,46,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.496628+09:00,success
126,47,APNS,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.497283+09:00,success
127,48,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.497916+09:00,fail
128,51,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.498427+09:00,success
129,52,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.499230+09:00,success
130,53,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.500032+09:00,fail
131,54,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.500622+09:00,fail
132,61,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.501311+09:00,success
133,64,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.501925+09:00,success
134,65,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.502439+09:00,fail
135,66,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.502902+09:00,fail
136,67,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.503336+09:00,success
137,74,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.503995+09:00,success
138,75,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.505310+09:00,success
139,79,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.505996+09:00,success
140,81,APNS,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.506768+09:00,fail
141,82,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.507572+09:00,fail
142,84,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.508291+09:00,fail
143,87,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.510148+09:00,fail
144,89,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.510695+09:00,fail
145,90,APNS,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.511308+09:00,fail
146,91,APNS,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.511869+09:00,success
147,94,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.512312+09:00,success
148,97,APNS,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.512759+09:00,fail
149,99,FCM,AKR20260522149900797,"[영상] 빵빵거리는 차가 없다?…퇴근길 횡단보도의 '작은 기적'",SOCIETY,2026-05-22T18:51:34.513417+09:00,fail
150,1,FCM,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.513855+09:00,success
151,2,FCM,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.514332+09:00,success
152,3,APNS,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.516329+09:00,success
153,4,FCM,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.516954+09:00,success
154,5,FCM,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.517501+09:00,success
155,6,APNS,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.518098+09:00,success
156,8,APNS,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.518507+09:00,success
157,9,FCM,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.518967+09:00,fail
158,11,FCM,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.519375+09:00,success
159,15,FCM,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.519997+09:00,success
160,17,FCM,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.521230+09:00,fail
161,19,FCM,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.521754+09:00,success
162,24,APNS,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.522339+09:00,success
163,26,APNS,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.522910+09:00,fail
164,27,FCM,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.523399+09:00,success
165,30,APNS,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.524032+09:00,success
166,34,FCM,AKR20260522149300017,"삼성바이오 노사정 대화 재개…노조 ""교섭방식 논의""",INDUSTRY,2026-05-22T18:51:34.524703+09:00,fail
